,CODIGO_UNICO,CODIGO_SNIP,NOMBRE_INVERSION,ESTADO,SITUACION,MONTO_VIABLE,COSTO_ACTUALIZADO,CTRL_CONCURR,MONTO_LAUDO,MONTO_FIANZA,FECHA_VIABILIDAD,MARCO,TIPO_INVERSION,DEVEN_ACUMUL_ANIO_ANT,DEV_ANIO_ACTUAL
2664,2530397,2530397,MEJORAMIENTO DEL SERVICIO DE PROVISIÓN DE AGUA EN EL SISTEMA DE RIEGO KEROPUQUIO EN EL CENTRO POBLADO DE VISTA ALEGRE DEL  DISTRITO DE CONGAS - PROVINCIA DE OCROS - DEPARTAMENTO DE ANCASH,ACTIVO,VIABLE,2250990.08,3754389.85,0,0.0,0.0,26/10/2021 00:00,INVIERTE,PROYECTO DE INVERSION,144835.41,0.0
313,2380177,2380177,"MEJORAMIENTO DEL SERVICIO DE AREAS VERDES EN LOS PARQUES, JARDINES Y BERMAS DEL DISTRITO DE CUSCO, PROVINCIA DE CUSCO-CUSCO",ACTIVO,VIABLE,2788088.41,3187644.18,0,0.0,0.0,21/08/2017 00:00,INVIERTE,PROYECTO DE INVERSION,3020324.75,0.0
599,2524845,2524845,"ADQUISICION DE CAMA CAMILLA MULTIPROPOSITO, VENTILADOR MECANICO, VENTILADOR MECANICO Y DESFIBRILADOR ADEMÁS DE OTROS ACTIVOS EN EL(LA) EESS HOSPITAL II TARAPOTO - TARAPOTO  DISTRITO DE TARAPOTO, PROVINCIA SAN MARTIN, DEPARTAMENTO SAN MARTIN",ACTIVO,APROBADO,1978713.92,1978713.92,0,0.0,0.0,30/07/2021 00:00,INVIERTE,INVERSIONES IOARR,0.0,0.0
3396,2453855,2453855,¿RECUPERACIÓN DE LA INFRAESTRUCTURA I.E INICIAL 1347 DEL CENTRO POBLADO SAN CARLOS DEL DISTRITO DE TAMBO GRANDE¿PROVINCIA DE PIURA-DEPARTAMENTO DE PIURA¿,ACTIVO,APROBADO,2632912.55,2423321.02,0,0.0,0.0,20/01/2020 00:00,INVIERTE,INTERVENCIONES IRI,2423321.02,0.0
967,2478143,2478143,CREACION DEL SERVICIO DE LA  INFRAESTRUCTURA DEPORTIVA EN LA COMUNIDAD DE TANAPACA  DEL   CENTRO POBLADO DE HUANCARANI DEL DISTRITO DE ILAVE - PROVINCIA DE EL COLLAO - DEPARTAMENTO DE PUNO,ACTIVO,VIABLE,307676.1,392687.46,0,0.0,0.0,19/02/2020 00:00,INVIERTE,PROYECTO DE INVERSION,375201.61,0.0
2351,2715592,2715592,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE RURAL Y MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE ALCANTARILLADO U OTRAS FORMAS DE DISPOSICIÓN SANITARIA DE EXCRETAS EN EL SECTOR DE GUADALUPE, ZONAL PALMA REAL   DISTRITO DE ECHARATE DE LA PROVINCIA DE LA CONVENCION DEL DEPARTAMENTO DE CUSCO",ACTIVO,VIABLE,3587529.27,3587529.27,0,0.0,0.0,17/12/2025 00:00,INVIERTE,PROYECTO DE INVERSION,0.0,0.0
2938,2575737,2575737,MEJORAMIENTO DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN LA MUNICIPALIDAD PROVINCIAL DE CANGALLO   DISTRITO DE CANGALLO DE LA PROVINCIA DE CANGALLO DEL DEPARTAMENTO DE AYACUCHO,ACTIVO,VIABLE,686964.0,893828.58,0,0.0,0.0,3/03/2023 00:00,INVIERTE,PROYECTO DE INVERSION,889129.1,0.0
2649,2089085,108370,"CONSTRUCCION DE COMPLEJO DEPORTIVO EN LA LOCALIDAD DE HUANTA ,, PROVINCIA DE HUANTA - AYACUCHO",ACTIVO,VIABLE,338680.0,338680.0,0,0.0,0.0,16/01/2009 00:00,SNIP,PIP MAYOR (SNIP),181956.61,0.0
2709,2098259,118615,"CONSTRUCCION DE PISTAS Y VEREDAS EN LA ASOCIACION DE AGRAVIADOS VICENTELLO, DISTRITO DE PUENTE PIEDRA - LIMA - LIMA",ACTIVO,VIABLE,253585.0,281756.0,0,0.0,0.0,21/05/2009 00:00,SNIP,PIP MAYOR (SNIP),319853.67,0.0
4203,2510026,2510026,"RENOVACION DE RESERVORIO EN EL(LA) RESERVORIO II DEL CANAL DE IRRIGACION SHASHALL BAJO EN LA LOCALIDAD HUARI, DISTRITO DE HUARI, PROVINCIA HUARI, DEPARTAMENTO ANCASH",ACTIVO,APROBADO,540000.0,690603.49,0,0.0,0.0,20/01/2021 00:00,INVIERTE,INVERSIONES IOARR,686923.49,0.0
4334,2178042,255620,"REHABILITACION DE LA INFRAESTRUCTURA VIAL Y PEATONAL EN EL JR. YACHAYHUASI CUADRA 1 Y 2  DE LA URBANIZACION ZARATE, COMUNA 3, DISTRITO DE SAN JUAN DE LURIGANCHO - LIMA - LIMA",ACTIVO,VIABLE,416494.26,408524.66,0,0.0,0.0,28/05/2013 00:00,SNIP,PIP MENOR (SNIP),227340.77,0.0
2404,2405435,2405435,"MEJORAMIENTO DE LOS SERVICIOS DE PROMOCIÓN Y COMERCIALIZACIÓN DE PRODUCTOS AGROPECUARIOS, AGROINDUSTRIALES Y ARTESANALES, DISTRITO DE YANAOCA - PROVINCIA DE CANAS - REGIÓN CUSCO",ACTIVO,VIABLE,566271.15,634145.0,0,0.0,0.0,31/01/2018 00:00,INVIERTE,PROYECTO DE INVERSION,633455.1,0.0
860,2114198,153513,"CONSTRUCCION DE LA POSTA MEDICA DE LA LOCALIDAD DE HUACASH, DISTRITO DE JACAS GRANDE - HUAMALIES - HUANUCO",ACTIVO,VIABLE,109510.63,109510.63,0,0.0,0.0,24/05/2010 00:00,SNIP,PIP MENOR (SNIP),126506.45,0.0
1971,2671103,2671103,MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN EL JIRON CONDE DE LEMUS DEL   DISTRITO DE CAMINACA DE LA PROVINCIA DE AZANGARO DEL DEPARTAMENTO DE PUNO,ACTIVO,VIABLE,712275.78,712275.78,0,0.0,0.0,11/12/2024 00:00,INVIERTE,PROYECTO DE INVERSION,0.0,0.0
2188,2084942,77391,"MEJORAMIENTO, AMPLIACION DE LOS SERVICIOS DE SANEAMIENTO BASICO RURAL DE LA LOCALIDAD DE  HUAMANTANGA, PROVINCIA DE HUARI - ANCASH",ACTIVO,VIABLE,779939.0,840757.96,0,0.0,0.0,9/07/2009 00:00,SNIP,PIP MAYOR (SNIP),784631.38,0.0
4056,2632443,2632443,"REPARACION DE AUDITORIO CONSTRUCCION DE AMBIENTE COMPLEMENTARIO ADQUISICION DE EQUIPAMIENTO DE AULA DE INNOVACION PEDAGOGICA EN EL(LA) I.E. 4 DE DICIEMBRE  DISTRITO DE SANTA BARBARA DE CARHUACAYAN, PROVINCIA YAULI, DEPARTAMENTO JUNIN",ACTIVO,APROBADO,348544.88,811650.72,0,0.0,0.0,6/02/2024 00:00,INVIERTE,INVERSIONES IOARR,15000.0,0.0
3783,2503709,2503709,CREACION DEL SERVICIO DE TRANSITABILIDAD URBANA A TRAVES DE CICLOVIA EN LA AV. GRAU DEL  DISTRITO DE PARCONA - PROVINCIA DE ICA - DEPARTAMENTO DE ICA,ACTIVO,VIABLE,1988570.46,2313135.49,0,0.0,0.0,12/11/2020 00:00,INVIERTE,PROYECTO DE INVERSION,33900.0,0.0
2050,2647353,2647353,CREACION DE LOS SERVICIOS DE PROTECCIÓN EN LA RIBERA DE LAS QUEBRADAS VULNERABLES ANTE EL PELIGRO EN SECTOR CALLE HUANUCO   DISTRITO DE LA BREA DE LA PROVINCIA DE TALARA DEL DEPARTAMENTO DE PIURA,ACTIVO,VIABLE,833353.85,833353.85,0,0.0,0.0,7/05/2024 00:00,INVIERTE,PROYECTO DE INVERSION,0.0,0.0
1096,2187659,268324,"MEJORAMIENTO DEL SERVICIO EDUCATIVO DE LA INSTITUCIÓN EDUCATIVA INICIAL NUEVO HORIZONTE DE LA  LOCALIDAD DE MOLLEHUACA, DISTRITO DE HUANUHUANU - CARAVELI - AREQUIPA",ACTIVO,VIABLE,1845336.0,1845336.0,0,0.0,0.0,26/07/2013 00:00,SNIP,PIP MAYOR (SNIP),1845336.0,0.0
283,2155238,208562,"CREACION DE LOSA DEPORTIVA EN EL ASOCIACION DE VIVIENDA PROTER SAMA, DISTRITO DE INCLAN - TACNA - TACNA",ACTIVO,VIABLE,794106.27,825085.26,0,0.0,0.0,17/04/2012 00:00,SNIP,PIP MENOR (SNIP),689034.39,0.0
3469,2147383,189677,"AMPLIACION DE LA CAPACIDAD OPERATIVA DE LA MAQUINARIA PARA EL MEJORAMIENTO Y MANTENIMIENTO DE LA INFRAESTRUCTURA VIAL DE LA MUNICIPALIDAD PROVINCIAL DE  ANTA, PROVINCIA DE ANTA - CUSCO",ACTIVO,VIABLE,9812894.0,9812894.0,0,0.0,0.0,17/10/2011 00:00,SNIP,PIP MAYOR (SNIP),8121572.14,0.0
4853,2610389,2610389,MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN INICIAL EN I.E. 140  DE CENTRO POBLADO SIALUPE BACA LA CAPILLA SANTA ROSA DISTRITO DE LAMBAYEQUE DE LA PROVINCIA DE LAMBAYEQUE DEL DEPARTAMENTO DE LAMBAYEQUE,ACTIVO,VIABLE,1668593.14,1668593.14,0,0.0,0.0,27/09/2023 00:00,INVIERTE,PROYECTO DE INVERSION,0.0,0.0
1297,2673405,2673405,"RECUPERACION DE LOS SERVICIOS ECOSISTÉMICOS  EN ECOSISTEMAS DE REGULACIÓN HÍDRICA Y CONTROL DE EROSION DE SUELOS EN EL ÁMBITO DE LAS COMUNIDADES CAMPESINAS DE LOS DTTO. DE AIJA, LA MERCED, CORIS, HUACLLAN Y   DISTRITO DE SUCCHA DE LA PROVINCIA DE AIJA DEL DEPARTAMENTO DE ANCASH",ACTIVO,VIABLE,20102772.05,20102772.05,0,0.0,0.0,14/02/2025 00:00,INVIERTE,PROYECTO DE INVERSION,0.0,0.0
4584,2393130,2393130,MEJORAMIENTO DEL RECINTO DEPORTIVO DEL DISTRITO DE PISCO - PROVINCIA DE PISCO - REGIÓN ICA,ACTIVO,VIABLE,12083789.5,17825635.81,0,0.0,0.0,23/11/2017 00:00,INVIERTE,PROYECTO DE INVERSION,17817226.87,0.0
3608,2423812,2423812,CREACION DE ESPACIOS DE USOS MÚLTIPLES EN LA COMUNIDAD DE SANTA CRUZ DE CUMI DEL DISTRITO DE DESAGUADERO - PROVINCIA DE CHUCUITO - DEPARTAMENTO DE PUNO,ACTIVO,VIABLE,214000.0,210000.0,0,0.0,0.0,21/06/2018 00:00,INVIERTE,PROYECTO DE INVERSION,171839.3,0.0
3586,2626838,2626838,MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN SECUNDARIA Y SERVICIO DE EDUCACION PRIMARIA EN I.E. FE Y ALEGRIA 14   DISTRITO DE NUEVO CHIMBOTE DE LA PROVINCIA DE SANTA DEL DEPARTAMENTO DE ANCASH,ACTIVO,VIABLE,7898357.12,7898357.12,0,0.0,0.0,21/12/2023 00:00,INVIERTE,PROYECTO DE INVERSION,0.0,0.0
268,2710911,2710911,ADQUISICION DE MOBILIARIO DE AULA DE EDUCACION PRIMARIA EN OCHENTA II.EE. PRIMARIA A NIVEL PROVINCIAL (LORETO - MAYNAS),ACTIVO,APROBADO,8244424.52,8244424.52,0,0.0,0.0,29/10/2025 00:00,INVIERTE,INVERSIONES IOARR,0.0,0.0
2543,2332327,371621,"CREACION DEL SISTEMA ELECTRICO RURAL CON PANELES SOLARES EN LAS  COMUNIDADES DE 7 DE JULIO, TIGRILLO, IRLANDA, LIDA, CANAL PINTO Y 7 DE JUNIO, DISTRITO DE LAS AMAZONAS - MAYNAS - LORETO",ACTIVO,VIABLE,1038989.0,1038989.0,0,0.0,0.0,20/10/2016 00:00,SNIP,PIP MENOR (SNIP),31000.0,0.0
3231,2288190,329875,"MEJORAMIENTO PERIODICO DE LA VIA VECINAL ENTRE LAS LOCALIDADES DE QUEROCOTILLO-AGUA BLANCA, DISTRITO DE QUEROCOTILLO - CUTERVO - CAJAMARCA",ACTIVO,VIABLE,294917.23,378791.14,0,0.0,0.0,10/08/2015 00:00,SNIP,PIP MENOR (SNIP),378791.05,0.0
3577,2517100,2517100,"ADQUISICION DE VENTILADOR MECANICO, MONITOR DE FUNCIONES VITALES, CAMA CAMILLA MULTIPROPOSITO TIPO UCI Y BOMBA DE INFUSION ADEMÁS DE OTROS ACTIVOS EN EL(LA) EESS HOSPITAL REGIONAL HERMILIO VALDIZAN - HUANUCO EN LA LOCALIDAD LA ESPERANZA, DISTRITO DE AMARILIS, PROVINCIA HUANUCO, DEPARTAMENTO HUANUCO",ACTIVO,APROBADO,12751981.63,12751981.63,0,0.0,0.0,3/05/2021 00:00,INVIERTE,INVERSIONES IOARR,10554.0,0.0
72,2656746,2656746,"ADQUISICION DE EQUIPO ECOGRAFO, EQUIPO ECOGRAFO, EQUIPO ECOGRAFO Y CABINA DE FLUJO LAMINAR HORIZONTAL EN EL(LA) HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS EN EL CENTRO POBLADO JESUS MARIA, DISTRITO DE JESUS MARIA, PROVINCIA LIMA, DEPARTAMENTO LIMA",ACTIVO,APROBADO,521331.0,866400.0,0,0.0,0.0,1/08/2024 00:00,INVIERTE,INVERSIONES IOARR,0.0,0.0
152,2452682,2452682,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS EDUCATIVOS DE LOS NIVELES INICIAL Y PRIMARIA DE LA I.E Nª 30935 SAGRADOS CORAZONES,  DISTRITO DE PAMPAS - PROVINCIA DE TAYACAJA - DEPARTAMENTO DE HUANCAVELICA",ACTIVO,VIABLE,9137187.27,15359000.06,0,0.0,0.0,27/06/2019 00:00,INVIERTE,PROYECTO DE INVERSION,76200.0,0.0
3073,2588741,2588741,CREACION DEL SERVICIO DE PRÁCTICA DEPORTIVA Y/O RECREATIVA EN RONDOS   DISTRITO DE RONDOS DE LA PROVINCIA DE LAURICOCHA DEL DEPARTAMENTO DE HUANUCO,ACTIVO,VIABLE,1202293.39,1025087.3,0,0.0,0.0,12/04/2023 00:00,INVIERTE,PROYECTO DE INVERSION,871455.65,0.0
1269,2024482,16524,CONSTRUCCION LOCAL MAESTRANZA MUNICIPAL - IPARIA,ACTIVO,VIABLE,93092.0,93092.0,0,0.0,0.0,19/05/2005 00:00,SNIP,PIP MAYOR (SNIP),92651.84,0.0
