investment_code,CODIGO_UNICO,NUM_ANIO,COD_MES,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,SEC_EJEC,DES_UEP
2194661,2194661,2021,9,50140.0,0,0,967459.0,967459.0,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2021,10,1032858.46,0,0,0.0,1032858.46,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2021,11,1441600.89,0,0,1856972.8,1856972.8,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2021,12,132980.0,0,0,538330.0,538330.0,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2021,0,0.0,8707469,0,0.0,0.0,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2022,1,953702.32,0,0,1931023.12,953702.32,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2022,2,361229.59,0,0,68977.0,438331.75,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2022,3,295917.9,0,0,388318.91,607965.03,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2022,4,337612.29,0,0,54500.0,337612.29,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2022,5,442818.91,0,0,0.0,442818.91,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2022,8,1087892.89,0,0,1087892.89,1087892.89,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2022,0,0.0,3528778,0,0.0,0.0,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2023,2,0.0,0,0,49602.4,0.0,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2023,3,49602.4,0,0,0.0,49602.4,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2023,0,0.0,49603,27688,0.0,0.0,861,REGION LORETO-SEDE CENTRAL
2194661,2194661,2024,0,0.0,0,150000,0.0,0.0,861,REGION LORETO-SEDE CENTRAL
2499210,2499210,2020,11,0.0,0,0,550628.0,531.4,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2020,12,125077.9,0,0,0.0,188911.5,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2020,0,0.0,550628,0,0.0,0.0,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
2499210,2499210,2021,1,11659.93,0,0,379429.93,59549.6,300351,MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS
