investment_code,COD_UNICO,DES_TIPO,COD_MES,PERIODO,MTO_ACT,FEC_PFA
2478143,2478143,ACTUALIZADO,10,2026-10,0.0,2026-01-07 17:34:24
2478143,2478143,ACTUALIZADO,11,2026-11,0.0,2026-01-07 17:34:24
2478143,2478143,ACTUALIZADO,4,2026-04,0.0,2026-01-07 17:34:24
2478143,2478143,ACTUALIZADO,8,2026-08,0.0,2026-01-07 17:34:24
2673405,2673405,ACTUALIZADO,2,2026-02,0.0,2026-03-05 20:48:20
2673405,2673405,ACTUALIZADO,9,2026-09,0.0,2026-03-05 20:48:20
2673405,2673405,ACTUALIZADO,4,2026-04,350000.0,2026-03-05 20:48:20
2673405,2673405,ACTUALIZADO,3,2026-03,0.0,2026-03-05 20:48:20
2673405,2673405,ACTUALIZADO,6,2026-06,0.0,2026-03-05 20:48:20
2673405,2673405,ACTUALIZADO,11,2026-11,0.0,2026-03-05 20:48:20
2673405,2673405,ACTUALIZADO,12,2026-12,0.0,2026-03-05 20:48:20
2673405,2673405,ACTUALIZADO,7,2026-07,0.0,2026-03-05 20:48:20
2673405,2673405,ACTUALIZADO,1,2026-01,0.0,2026-03-05 20:48:20
2673405,2673405,ACTUALIZADO,5,2026-05,0.0,2026-03-05 20:48:20
2673405,2673405,ACTUALIZADO,8,2026-08,0.0,2026-03-05 20:48:20
2673405,2673405,ACTUALIZADO,10,2026-10,0.0,2026-03-05 20:48:20
2656746,2656746,ACTUALIZADO,5,2026-05,0.0,2025-12-05 15:52:01
2656746,2656746,ACTUALIZADO,11,2026-11,0.0,2025-12-05 15:52:01
2656746,2656746,ACTUALIZADO,7,2026-07,0.0,2025-12-05 15:52:01
2656746,2656746,ACTUALIZADO,10,2026-10,0.0,2025-12-05 15:52:01
2656746,2656746,ACTUALIZADO,6,2026-06,0.0,2025-12-05 15:52:01
2656746,2656746,ACTUALIZADO,9,2026-09,0.0,2025-12-05 15:52:01
2656746,2656746,ACTUALIZADO,1,2026-01,0.0,2025-12-05 15:52:01
2656746,2656746,ACTUALIZADO,3,2026-03,0.0,2025-12-05 15:52:01
2656746,2656746,ACTUALIZADO,4,2026-04,0.0,2025-12-05 15:52:01
2656746,2656746,ACTUALIZADO,8,2026-08,310371.0,2025-12-05 15:52:01
2656746,2656746,ACTUALIZADO,2,2026-02,0.0,2025-12-05 15:52:01
2656746,2656746,ACTUALIZADO,12,2026-12,0.0,2025-12-05 15:52:01
2452682,2452682,ACTUALIZADO,2,2026-02,0.0,2026-02-12 15:55:40
2452682,2452682,ACTUALIZADO,6,2026-06,0.0,2026-02-12 15:55:40
2452682,2452682,ACTUALIZADO,7,2026-07,0.0,2026-02-12 15:55:40
