investment_code,CODIGO_UNICO,NUM_ANIO,COD_MES,MTO_DEVEN,MTO_CERT,MTO_COMPROM
2380177,2380177,2020,11,332024.07,191038.63,233409.27
2380177,2380177,2020,12,67619.91,34020.61,34019.91
2380177,2380177,2021,3,32327.91,32327.91,32327.91
2380177,2380177,2021,5,848.0,398.0,848.0
2380177,2380177,2021,7,2981.46,0.0,2981.46
2453855,2453855,2020,11,186159.49,0.0,102299.31
2453855,2453855,2020,12,681785.65,0.0,2153618.82
2453855,2453855,2021,3,537994.02,1471833.66,1471833.66
2453855,2453855,2021,4,34515.91,36480.41,36480.41
2453855,2453855,2021,5,175758.83,0.0,0.0
2453855,2453855,2021,6,564703.56,0.0,0.0
2453855,2453855,2021,7,28799.3,11934.91,36480.41
2453855,2453855,2021,8,11934.86,0.0,11934.91
2453855,2453855,2021,9,22548.12,0.0,0.0
2453855,2453855,2021,12,29756.09,0.0,0.0
2453855,2453855,2022,3,123052.58,132714.49,123052.58
2453855,2453855,2022,11,5000.0,0.0,0.0
2453855,2453855,2022,12,21312.61,11650.71,21312.61
2478143,2478143,2021,11,58309.51,100000.0,72082.2
2478143,2478143,2021,12,162611.16,26922.0,88798.8
2478143,2478143,2022,3,64719.54,45107.0,46907.0
2478143,2478143,2022,7,1800.0,0.0,0.0
2478143,2478143,2022,10,12151.8,0.0,0.0
2478143,2478143,2022,12,75609.6,-0.6,72652.6
2575737,2575737,2023,4,133090.9,237313.4,255913.4
2575737,2575737,2023,5,27925.0,74142.24,53332.24
2575737,2575737,2023,6,140942.74,83629.41,76420.0
2575737,2575737,2023,7,70999.7,48053.29,40472.7
2575737,2575737,2023,8,6800.0,74287.17,0.0
2575737,2575737,2023,10,12810.0,32023.0,123285.0
2575737,2575737,2023,11,43805.0,1380.0,3435.0
2575737,2575737,2023,12,257442.26,122155.76,120355.76
2575737,2575737,2024,2,18348.0,52358.0,52358.0
2575737,2575737,2024,3,27510.0,0.0,0.0
2575737,2575737,2024,5,75315.5,14430.0,16430.0
2575737,2575737,2024,6,65140.0,7260.0,7260.0
2575737,2575737,2024,12,9000.0,0.0,0.0
2089085,2089085,2009,9,20643.3,0.0,20643.3
2089085,2089085,2009,10,1542.0,0.0,1542.0
2089085,2089085,2009,11,47793.0,0.0,47793.0
2089085,2089085,2009,12,12337.9,0.0,12337.9
2089085,2089085,2010,1,14957.16,0.0,14919.62
2089085,2089085,2010,2,26085.71,0.0,30081.31
2089085,2089085,2010,3,18059.96,0.0,37746.2
2089085,2089085,2010,4,25213.9,0.0,13633.28
2089085,2089085,2010,5,1700.0,0.0,0.0
2089085,2089085,2010,6,11320.6,0.0,750.0
2089085,2089085,2010,10,-206.92,0.0,440.0
2089085,2089085,2010,11,2070.0,0.0,2070.0
2089085,2089085,2010,12,440.0,0.0,0.0
2098259,2098259,2011,11,81875.35,0.0,81875.35
2098259,2098259,2011,12,196971.57,0.0,196971.57
2098259,2098259,2012,7,27884.7,40996.75,40996.75
2098259,2098259,2012,9,13122.05,0.0,0.0
2510026,2510026,2022,6,20000.0,581909.06,0.0
2510026,2510026,2022,9,11395.25,0.0,624709.06
2510026,2510026,2022,10,375100.21,0.0,15953.9
2510026,2510026,2022,11,153438.1,0.0,7826.26
2510026,2510026,2022,12,81095.5,0.0,3944.59
2510026,2510026,2023,10,45894.43,0.0,0.0
2178042,2178042,2013,11,125818.27,0.0,229534.77
2178042,2178042,2013,12,99922.5,0.0,4206.0
2178042,2178042,2014,8,1600.0,1600.0,1600.0
2405435,2405435,2018,4,25455.0,27730.0,26430.0
2405435,2405435,2018,5,24373.0,32398.0,25698.0
2405435,2405435,2018,6,47990.0,37690.0,45690.0
2405435,2405435,2018,7,250076.2,252166.2,251176.2
2405435,2405435,2018,8,76299.45,77199.45,77189.45
2405435,2405435,2018,9,59290.45,57300.45,57300.45
2405435,2405435,2018,10,37092.0,37742.0,37742.0
2405435,2405435,2018,11,19790.0,27507.0,27507.0
2405435,2405435,2018,12,74137.0,65770.0,65770.0
2405435,2405435,2019,2,5000.0,7207.5,5000.0
2405435,2405435,2019,3,5996.0,11744.5,5996.0
2405435,2405435,2019,4,7956.0,0.0,7956.0
2114198,2114198,2010,6,124569.0,0.0,124569.0
2114198,2114198,2010,12,1937.45,0.0,1937.45
2084942,2084942,2012,4,500406.67,1200.0,500406.67
2084942,2084942,2012,6,600.0,600.0,600.0
2084942,2084942,2012,8,2500.0,2500.0,2500.0
2084942,2084942,2012,12,132245.38,132245.38,132245.38
2084942,2084942,2013,6,37271.82,37271.82,37271.82
2084942,2084942,2014,3,103607.51,10360.75,103607.51
2084942,2084942,2014,8,8000.0,8000.0,8000.0
2084942,2084942,2020,9,15000.0,0.0,0.0
2084942,2084942,2020,12,-15000.0,0.0,0.0
2632443,2632443,2024,12,15000.0,0.0,0.0
2503709,2503709,2020,12,33900.0,0.0,33900.0
2187659,2187659,2014,9,48000.0,64000.0,64000.0
2187659,2187659,2014,10,481481.17,481481.17,481481.17
2187659,2187659,2014,11,260866.79,301807.17,301807.17
2187659,2187659,2014,12,156669.27,156669.27,156669.27
2187659,2187659,2015,3,479698.46,479698.46,479698.46
2187659,2187659,2015,4,412312.39,412312.39,412312.39
2187659,2187659,2015,5,2717.55,2717.55,2717.55
2187659,2187659,2015,9,3590.37,3590.37,3590.37
2155238,2155238,2012,6,11350.0,2350.0,2350.0
2155238,2155238,2012,7,43073.71,69428.71,69428.71
2155238,2155238,2012,8,140005.59,134086.59,132111.59
2155238,2155238,2012,9,79415.96,155402.26,157377.26
2155238,2155238,2012,10,172635.52,143380.66,138780.66
2155238,2155238,2012,11,178101.96,161538.52,164343.52
2155238,2155238,2012,12,16945.21,46291.99,48086.99
2155238,2155238,2013,4,3410.0,1710.0,1710.0
2155238,2155238,2013,10,37171.72,37171.72,37171.72
2155238,2155238,2014,12,424.72,424.72,424.72
2155238,2155238,2018,8,6500.0,6500.0,6500.0
2147383,2147383,2011,12,5361875.14,0.0,5361875.14
2147383,2147383,2012,1,1696000.0,1750000.0,1700700.0
2147383,2147383,2012,2,23700.0,851000.0,13000.0
2147383,2147383,2012,3,989017.0,153717.0,999717.0
2147383,2147383,2012,4,10700.0,11500.0,10700.0
2147383,2147383,2012,5,800.0,0.0,800.0
2147383,2147383,2012,10,480.0,480.0,480.0
2147383,2147383,2012,11,39000.0,6000.0,6000.0
2393130,2393130,2017,12,37000.0,37000.0,37000.0
2393130,2393130,2018,8,1394563.46,-164584.33,7459113.0
2393130,2393130,2018,9,2788326.93,0.0,0.0
2393130,2393130,2018,10,955951.55,0.0,153192.0
2393130,2393130,2018,11,525874.21,18400.0,18400.0
2393130,2393130,2018,12,167249.55,0.0,18400.0
2393130,2393130,2019,4,446838.27,6482521.93,2595482.23
2393130,2393130,2019,5,1759203.67,30600.35,6513122.28
2393130,2393130,2019,6,930582.65,0.0,0.0
2393130,2393130,2019,7,885162.64,12200.0,8000.0
