investment_code,CODIGO_UNICO,DES_UNIDAD_UEI,COSTO_ACTUALIZADO,MTO_VIABLE,NOMBRE_INVERSION,FECHA_ULT_ACT_F12B,FEC_VIABLE,FEC_REG_ET,FEC_APROB_ET,FEC_SEC_C,TIPO_FORMATO,MTO_ULT_ET,MTO_ET_SNIP,MTO_PMI_1,MTO_PMI_2,MTO_PMI_3,MTO_LAUDO,MTO_CartFza,NOMBRE_OPMI,ESTADO,RUTA_FOTO,RUTA_FOTO_2,PER_FOTO,PER_FOTO_2,ULT_ESTADO_SITUACIONAL,FOTO_SITUAC,ULT_PROBLEMA,ET_REGISTRADO,CIERRE_REGISTRADO,FEC_INI_EJ,FEC_FIN_EJ,MODAL_EJEC,PORC_AVANCE_FIS,PORC_AVANCE_EJEC,FEC_DECLARA_ESTIM,SITUACION,IND_EJECFIS,PROB_ET_1,TIP_F12B,IND_PARALIZADA
2352536,2352536,UEI DE LA MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE,395278.93,231268.56,"MEJORAMIENTO DEL PARQUE PRINCIPAL DEL CPM LA RAMADA ., DISTRITO DE SALAS - LAMBAYEQUE - LAMBAYEQUE",2022-04-22 05:00:00,2017-05-30 05:00:00,,2019-03-18 05:00:00,2019-12-18 05:00:00,PROYECTO DE INVERSION,392179.0,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD DISTRITAL DE SALAS - LAMBAYEQUE,ACTIVO,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=3be08c96-9c91-4e9c-a290-af8f0d0206eb.jpg,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=861819d2-e4e9-4273-843f-c1708b03943a.jpeg,2021-01,2020-07,"[23/03/2022] culminada 100% CON RESOLUCIÓN  DE LIQUIDACIÓN  N°044 /2020 MPL GIU  EL 25/08/2020 CON SALDO A FAVOR DEL CONTRATISTA POR REAJUSTES  POR LE MONTO DE S/4221.69  . SUPERVISION : CON RESOLUCIÓN N°12 /2021-MPL GIU CON FECHA 30/03/2021 ,PAGADO EN SU TOTALIDAD ,SIN PAGOS DE REAJUSTE. PARA  CONFORMACION DEL COMITE DE TRANSFERENCIA Y ELABORACION DEL ACTA Y FORMATO DE CIERRE DE PIP.",, ,SI,NO,18/12/2019 00:00:00,12/03/2020 05:00:00,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,100.0,100.0,22/04/2022,VIABLE,NO, ,1,NO
2705952,2705952,UEI DE LA MUNICIPALIDAD DISTRITAL DE SAN JOSE,410449.54,420449.54,"MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN LA CALLE MIGUEL GRAU, TRAMO DESDE LA CALLE LIMA HASTA EL PUENTE FIERRO, EN EL C.P. CAMPANITA,   DISTRITO DE SAN JOSE DE LA PROVINCIA DE PACASMAYO DEL DEPARTAMENTO DE LA LIBERTAD",2026-01-19 05:00:00,2025-09-09 05:27:59,,2025-09-16 05:00:00,2025-09-16 05:00:00,PROYECTO DE INVERSION,400449.54,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD DISTRITAL DE SAN JOSE,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,"[19/01/2026] ACTUALMENTE SE ENCUENTRA A NIVEL DE CONTRATO, PARA SU CERTIFICACION PRESUPUESTAL Y EJECUCION DE OBAR POR SER NUEVO AÑO FISCAL.",,[19/01/2026] NINGUNO,SI,NO,02/02/2026 00:00:00,03/04/2026 00:00:00,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,0.0,0.0,,VIABLE,SI,[19/01/2026] NINGUNO,2,NO
2530397,2530397,UEI DE LA GOBIERNO REGIONAL ANCASH,3754389.85,2250990.08,MEJORAMIENTO DEL SERVICIO DE PROVISIÓN DE AGUA EN EL SISTEMA DE RIEGO KEROPUQUIO EN EL CENTRO POBLADO DE VISTA ALEGRE DEL  DISTRITO DE CONGAS - PROVINCIA DE OCROS - DEPARTAMENTO DE ANCASH,2026-02-17 05:00:00,2021-10-26 14:31:53,,2024-09-13 05:00:00,2024-09-13 05:00:00,PROYECTO DE INVERSION,3754389.85,0.0,3563154.44,0.0,0.0,0.0,0.0,OPMI DEL GOBIERNO REGIONAL ANCASH,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,[04/02/2026] expediente entregado pero falta hacer el pago del último entregable,,[04/02/2026] no se presentaron problemas en la elaboracion del expediente tecnico.,SI,NO,28/01/2025 00:00:00,30/09/2027 00:00:00,"ADMINISTRACIÓN DIRECTA,ADMINISTRACIÓN INDIRECTA - POR CONTRATA",0.0,0.0,04/02/2026,VIABLE,NO,[04/02/2026] realizar el pago del último entregable,0,NO
2524845,2524845,UEI DEL SEGURO SOCIAL DE SALUD DEL PERÚ - ESSALUD,1978713.92,1978713.92,"ADQUISICION DE CAMA CAMILLA MULTIPROPOSITO, VENTILADOR MECANICO, VENTILADOR MECANICO Y DESFIBRILADOR; ADEMÁS DE OTROS ACTIVOS EN EL(LA) EESS HOSPITAL II TARAPOTO - TARAPOTO  DISTRITO DE TARAPOTO, PROVINCIA SAN MARTIN, DEPARTAMENTO SAN MARTIN",2026-03-26 05:00:00,2021-07-31 01:31:50,,2021-08-20 05:00:00,,IOARR,1978713.92,0.0,0.0,0.0,0.0,0.0,0.0,ORGANO ENCARGADO DE ELABORAR EL PMI DEL SEGURO SOCIAL DE SALUD DEL PERÚ - ESSALUD,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,"[26/03/2026]  - Otras situaciones (detalle en campo adicional) <br>A la fecha, se viene recabando información a fin de realizar el registro correcto, teniendo en consideración que se trata de inversiones ejecutadas en el marco de la pandemia por COVID-19.",,[26/03/2026]  - Otras restricciones (detalle en campo adicional) <br>Se ha identificado como principal limitación la falta de documentación necesaria.,SI,NO,01/07/2021 00:00:00,01/08/2021 00:00:00,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,0.0,0.0,26/03/2026,APROBADO,SI,[26/03/2026]  - Otras acciones de gestión (detalle en campo adicional) <br>Recopilar la información faltante para efectuar el registro correspondiente.,2,NO
2380177,2380177,UEI GERENCIA DE MEDIO AMBIENTE,3187644.18,2788088.41,"MEJORAMIENTO DEL SERVICIO DE AREAS VERDES EN LOS PARQUES, JARDINES Y BERMAS DEL DISTRITO DE CUSCO, PROVINCIA DE CUSCO-CUSCO",2022-12-26 05:00:00,2017-08-21 15:27:29,,2017-11-24 05:00:00,2020-09-21 05:00:00,PROYECTO DE INVERSION,1429523.6,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD PROVINCIAL DEL CUSCO,ACTIVO,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=3a2c02d6-851f-4d90-8ce4-d97400316413.jpeg,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=997d142c-11e4-4274-bc07-6d19774e2160.jpeg,2020-12,2020-11,"[31/05/2021] EL PROYECTO HA CONCLUIDO CON LA EJECUCIÓN FÍSICA EL 03/12/2020, SE ENCUENTRA EN PROCESO DE LIQUIDACIÓN A CARGO DE LA OFICINA DE LIQUIDACIONES DE PROYECTOS DE INVERSIÓN PUBLICA.",, ,SI,"Sí, en proceso de liquidación",13/08/2018 00:00:00,30/08/2019 00:00:00,ADMINISTRACIÓN DIRECTA,91.7,90.34,12/04/2021,VIABLE,NO, ,1,NO
2478143,2478143,UEI DE LA MUNICIPALIDAD PROVINCIAL DE EL COLLAO,392687.46,307676.1,CREACION DEL SERVICIO DE LA  INFRAESTRUCTURA DEPORTIVA EN LA COMUNIDAD DE TANAPACA  DEL   CENTRO POBLADO DE HUANCARANI DEL DISTRITO DE ILAVE - PROVINCIA DE EL COLLAO - DEPARTAMENTO DE PUNO,2026-01-07 05:00:00,2020-02-19 21:14:12,,2021-01-28 05:00:00,2022-03-09 05:00:00,PROYECTO DE INVERSION,347580.09,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE EL COLLAO,ACTIVO,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=b55364be-4fd4-4706-bc8a-6b18513ddc21.jpeg,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=d5cc805e-6dba-473a-918d-289b9a56d0fb.jpeg,2022-07,2022-06,"[07/01/2026] al 31 DE DICIEMBRE DEL 2025, la obra se encuentra CULMINADA A LA ESPERA DE LA PRESENTACION DEL INFORME FINAL DE OBRA, POR PARTE DE LOS RESPONSABLES DE OBRA. PARA LA RESPECTIVA LIQUIDACION TECNICA FINANCIERA",,[07/01/2026] -,SI,NO,18/10/2021 00:00:00,15/01/2022 00:00:00,ADMINISTRACIÓN DIRECTA,98.0,94.5,07/01/2026,VIABLE,SI,[07/01/2026] -,2,NO
2575737,2575737,UEI DE LA MUNICIPALIDAD PROVINCIAL DE CANGALLO,893828.58,686964.0,MEJORAMIENTO DE LOS SERVICIOS OPERATIVOS O MISIONALES INSTITUCIONALES EN LA MUNICIPALIDAD PROVINCIAL DE CANGALLO   DISTRITO DE CANGALLO DE LA PROVINCIA DE CANGALLO DEL DEPARTAMENTO DE AYACUCHO,2026-01-20 05:00:00,2023-03-03 08:27:45,,2023-03-21 05:00:00,2023-03-21 05:00:00,PROYECTO DE INVERSION,893828.58,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE CANGALLO,ACTIVO,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=d2014a55-e838-496b-8392-12e22c6e6f64.png,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=f222eaf4-60e9-4d2c-8ac4-d9b74ef6fad1.jpeg,2024-04,2024-01,[20/01/2026]  - Inversión culminada / 100% ejecutada físicamente (en proceso de cierre) <br>culminada la obra,,[20/01/2026]  - Limitaciones de capacidad técnica / operativa de la entidad <br>en proceso de evaluacion su preliquidacion,SI,NO,03/04/2023 00:00:00,01/07/2023 00:00:00,"ADMINISTRACIÓN DIRECTA,ADMINISTRACIÓN INDIRECTA - POR CONTRATA",85.41,84.06,08/03/2024,VIABLE,SI,[20/01/2026]  - Elaborar y aprobar liquidación <br>falta de disponibiidad presupuestal para su  liquidacion,2,NO
2510026,2510026,UEI DE LA MUNICIPALIDAD PROVINCIAL DE HUARI,690603.49,540000.0,"RENOVACION DE RESERVORIO; EN EL(LA) RESERVORIO II DEL CANAL DE IRRIGACION SHASHALL BAJO EN LA LOCALIDAD HUARI, DISTRITO DE HUARI, PROVINCIA HUARI, DEPARTAMENTO ANCASH",2023-09-28 05:00:00,2021-01-20 20:35:21,,2022-03-24 05:00:00,2023-07-26 05:00:00,IOARR,644709.06,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE HUARI,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos., ,, ,SI,NO,20/07/2022 00:00:00,20/12/2023 00:00:00,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,0.0,0.0,,APROBADO,NO, ,0,NO
2405435,2405435,UEI DE LA MUNICIPALIDAD PROVINCIAL DE CANAS - YANAOCA - DESARROLLO ECONOMICO,634145.0,566271.15,"MEJORAMIENTO DE LOS SERVICIOS DE PROMOCIÓN Y COMERCIALIZACIÓN DE PRODUCTOS AGROPECUARIOS, AGROINDUSTRIALES Y ARTESANALES, DISTRITO DE YANAOCA - PROVINCIA DE CANAS - REGIÓN CUSCO",2022-12-27 05:00:00,2018-01-31 23:57:40,,2018-02-08 05:00:00,2018-12-13 05:00:00,PROYECTO DE INVERSION,551843.0,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD PROVINCIAL DE CANAS - YANAOCA,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos., ,, ,SI,"Sí, en proceso de liquidación",02/04/2018 00:00:00,28/02/2019 00:00:00,ADMINISTRACIÓN DIRECTA,0.0,0.0,,VIABLE,NO, ,1,NO
2671103,2671103,UEI DE LA MUNICIPALIDAD DISTRITAL DE CAMINACA,712275.78,712275.78,MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN EL JIRON CONDE DE LEMUS DEL   DISTRITO DE CAMINACA DE LA PROVINCIA DE AZANGARO DEL DEPARTAMENTO DE PUNO,2025-07-30 05:00:00,2024-12-12 02:38:17,,,,PROYECTO DE INVERSION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OPMI DE LA MUNICIPALIDAD DISTRITAL DE CAMINACA,ACTIVO,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,No se encontraron fotos.,"[30/07/2025] al 30 de junio del 2025 el proyecto se encuentra en la etapa de elaboracion de expediente tecnico y que este se va a elaborar de acuerdo a la directiva de elaboracion de proyectos del programa ""llamkasun peru""",,[30/07/2025] no se identificaron problemas,NO,NO,,,ADMINISTRACIÓN DIRECTA,0.0,0.0,,VIABLE,SI,[30/07/2025] mantener actualizado el banco de inversiones,2,NO
