investment_code,FEC_PARALIZA,DES_MOTIVO,DES_NOMBRE,DES_ESTADO,DES_NOMBRE_OBRA,COD_INFO_OBRAS,VAL_AVANCE_FISICO,DES_MODALIDAD,DES_ESTADO_USUARIO,FEC_CREA
2518188,2023-02-01 05:00:00,PROBLEMAS CON EL MINISTERIO DE VIVIENDA,"CONSTRUCCION DE LÍNEA DE CONDUCCIÓN; EN EL(LA) SERVICIO DE AGUA POTABLE DEL CENTRO POBLADO DE AMPAS DEL  DISTRITO DE HUARI, PROVINCIA HUARI, DEPARTAMENTO ANCASH",20/06/2025 Obra suspendida,"CONSTRUCCION DE LÍNEA DE CONDUCCIÓN; EN EL(LA) SERVICIO DE AGUA POTABLE DEL CENTRO POBLADO DE AMPAS DEL DISTRITO DE HUARI, PROVINCIA HUARI, DEPARTAMENTO ANCASH",504095,78,ADMINISTRACIÓN INDIRECTA - POR CONTRATA,Obra suspendida,2024-06-17 15:23:46
2512456,2022-09-01 05:00:00,"CONFLICTOS SOCIALES, ENTRE LA POBLACIÓN POR LA POSESIÓN DEL TERRENO DONDE SE EJECUTA EL PROYECTO.",CREACION DE COMPLEJO POLIDEPORTIVO EN LA LOCALIDAD DE SANTA ROSA EN EL CENTRO POBLADO DE SERRAN DEL DISTRITO DE SALITRAL - PROVINCIA DE MORROPON - DEPARTAMENTO DE PIURA ,05/10/2025 Obra culminada,CREACION DE COMPLEJO POLIDEPORTIVO EN LA LOCALIDAD DE SANTA ROSA EN EL CENTRO POBLADO DE SERRAN DEL DISTRITO DE SALITRAL - PROVINCIA DE MORROPON - DEPARTAMENTO DE PIURA.,2512456,65,ADMINISTRACIÓN DIRECTA,Obra culminada,2023-11-27 21:20:26
