investment_code,NOM_INVERSION,ENTIDAD_SUPERVISORA,TIP_DOCUMENTO,MTO_INVERS_CTRT,TIPO_REG,CODIGO_UNICO,ANIO_BUENA_PRO,URL_DOCUM,FEC_DOCUMENTO
2530482,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA DEL DISTRITO DE ZARUMILLA - PROVINCIA DE ZARUMILLA - DEPARTAMENTO DE TUMBES,Ilender Perú S.A,CONVENIO DE INVERSIÓN,6056668.03,CONVENIO,2530482,2023,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=oxi-20250414-32c10422-336e-07b2-e063-0a00646e07b2.pdf,2024-10-01 05:00:00
2530482,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA DEL DISTRITO DE ZARUMILLA - PROVINCIA DE ZARUMILLA - DEPARTAMENTO DE TUMBES,Ilender Perú S.A,ADENDA N° 01 AL CONVENIO DE INVERSIÓN,8524722.85,CONVENIO,2530482,2023,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=oxi-20250414-32c10422-336f-07b2-e063-0a00646e07b2.pdf,2024-10-29 05:00:00
2530482,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA DEL DISTRITO DE ZARUMILLA - PROVINCIA DE ZARUMILLA - DEPARTAMENTO DE TUMBES,Ilender Perú S.A,ADENDA N° 02 AL CONVENIO DE INVERSIÓN,8685789.37,CONVENIO,2530482,2023,https://ofi5.mef.gob.pe/invierte/general/downloadArchivoPublico?idArchivo=oxi-20251216-461ac855-6602-09a8-e063-0a00646e09a8.pdf,2025-06-06 05:00:00
