investment_code,CODIGO_UNICO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_GIRADO,DEV_ANIO1,PER_PRIM_DEVENG,PER_ULT_DEVENG
2647582,2647582,186114.37,24000,0,186114.37,0.0,202407,202512
2723677,2723677,0.0,0,0,0.0,0.0,,
2046453,2046453,1071725.63,0,0,1066140.39,0.0,200805,201012
2460014,2460014,16500.0,0,0,16500.0,0.0,201909,201909
2304530,2304530,475145.69,1096035,0,468425.69,19221.0,202010,202604
2521427,2521427,363976.8,0,0,363976.8,0.0,202112,202212
2317465,2317465,1186844.93,0,0,1186844.93,0.0,201608,201809
2285136,2285136,3807488.73,0,0,3807488.73,0.0,201604,201703
2490846,2490846,204085.1,0,0,204085.1,0.0,202007,202112
2034597,2034597,96246.63,0,0,96246.63,0.0,200803,201108
2380788,2380788,19040.0,0,0,19040.0,0.0,201711,201712
2240533,2240533,10857968.95,0,0,10857968.95,0.0,201608,201812
2537352,2537352,34114.61,0,0,34114.61,0.0,202207,202212
2545096,2545096,241500.3,0,0,241500.3,0.0,202209,202310
2467050,2467050,28000.0,0,0,28000.0,0.0,201912,201912
2110081,2110081,84255.51,0,0,84255.51,0.0,201002,201005
2153782,2153782,9500.0,0,0,9500.0,0.0,201204,201204
2197912,2197912,362409.49,0,0,362409.49,0.0,201409,201412
2653218,2653218,39400.0,0,0,39400.0,0.0,202408,202408
2589602,2589602,172698.05,0,0,172698.05,0.0,202308,202310
2645673,2645673,20450.0,0,0,20450.0,0.0,202405,202409
2381063,2381063,686009.03,0,0,686009.03,0.0,201709,201906
2623733,2623733,110400.5,0,0,110400.5,0.0,202404,202509
2611340,2611340,813250.81,0,0,813250.81,0.0,202402,202409
2028984,2028984,4772661.45,0,0,4772661.45,0.0,200606,200904
2070022,2070022,603473.89,0,0,238552.7,0.0,201006,201312
2243217,2243217,110822.0,0,0,108822.0,0.0,201610,202512
2313144,2313144,147480.0,0,0,147480.0,0.0,201611,202007
2135027,2135027,1179999.34,0,0,1179999.34,0.0,201303,201303
2619096,2619096,28000.0,0,0,28000.0,0.0,202410,202410
2230957,2230957,1143576.51,0,0,1138688.51,0.0,201312,201512
2075269,2075269,567631.6,0,0,567631.6,0.0,201110,201210
2325712,2325712,309858.73,0,0,309858.73,0.0,202109,202507
2188593,2188593,180916.19,0,0,180916.19,0.0,201401,201411
2451089,2451089,65795.0,0,0,65795.0,0.0,202012,202104
2111171,2111171,392162.3,0,0,392162.3,0.0,201004,201412
2526974,2526974,1378411.15,0,200000,1378411.15,0.0,202306,202512
2184093,2184093,338211.0,0,0,338211.0,0.0,201309,201507
2077418,2077418,415622.94,0,0,415622.94,0.0,201111,201204
2046732,2046732,3497.0,0,0,3206.5,0.0,200711,200803
2233757,2233757,29840.14,0,0,29840.14,0.0,201609,201612
2522233,2522233,2200.0,0,0,2200.0,0.0,202301,202301
2714613,2714613,42083.64,0,0,42083.64,0.0,202512,202512
2482670,2482670,3585409.79,487885,0,3585409.79,246893.61,202210,202603
2624489,2624489,35800.0,0,0,35800.0,0.0,202404,202404
2122318,2122318,5146494.0,0,0,5146494.0,0.0,201212,201812
