investment_code,CODIGO_UNICO,NUM_ANIO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,COD_ESPECIFICA,DES_ESPECIFICA
2660498,2660498,2024,38430.43,115292,0,0.0,115291.31,2.6.23.5,AGUA Y SANEAMIENTO
2660498,2660498,2024,7000.0,7000,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2660498,2660498,2025,345872.87,345873,0,345872.87,345872.87,2.6.23.5,AGUA Y SANEAMIENTO
2660498,2660498,2025,39300.0,39300,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2598508,2598508,2023,31200.0,39000,0,0.0,-7800.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2598508,2598508,2024,0.0,35233,0,0.0,0.0,2.4.23.1,A OTRAS UNIDADES DEL GOBIERNO
2598508,2598508,2024,1202945.66,1655962,0,0.0,0.0,2.6.23.4,INFRAESTRUCTURA AGRICOLA
2598508,2598508,2024,7800.0,7800,1761661,7800.0,7800.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2598508,2598508,2024,0.0,70466,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2598508,2598508,2025,4489034.21,4535121,4238439,-201432.58,-201432.58,2.6.23.4,INFRAESTRUCTURA AGRICOLA
2598508,2598508,2025,226800.0,226800,0,226800.0,226800.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2194661,2194661,2015,101710.04,101711,0,142394.06,101710.04,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2194661,2194661,2016,89041.5,98935,0,0.0,89041.5,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2194661,2194661,2017,9893.5,13373,100000,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2194661,2194661,2021,7076942.91,8030646,0,2032203.8,6524856.8,2.6.23.2,INFRAESTRUCTURA VIAL
2194661,2194661,2021,553100.0,676823,0,-131665.6,676822.4,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2194661,2194661,2022,3407233.9,3407235,0,3407234.92,3407233.9,2.6.23.2,INFRAESTRUCTURA VIAL
2194661,2194661,2022,71940.0,121543,0,123477.0,123477.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2194661,2194661,2023,49602.4,49603,27688,0.0,49602.4,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2499210,2499210,2021,574491.52,588860,0,289878.11,535331.44,2.6.23.5,AGUA Y SANEAMIENTO
2499210,2499210,2022,3155.0,8155,0,3155.0,3155.0,2.6.23.5,AGUA Y SANEAMIENTO
2152952,2152952,2013,234853.91,238156,0,306545.0,234853.91,2.6.23.6,"PLAZUELAS, PARQUES Y JARDINES"
2152952,2152952,2013,8000.0,8000,0,8000.0,8000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2152952,2152952,2013,4000.0,8000,0,0.0,4000.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2152952,2152952,2014,6720.0,6720,0,6720.0,6720.0,2.6.23.6,"PLAZUELAS, PARQUES Y JARDINES"
2088996,2088996,2009,289174.3,289175,0,0.0,0.0,2.6.23.99,OTRAS ESTRUCTURAS DIVERSAS
2088996,2088996,2009,10500.0,10500,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2687722,2687722,2025,148476.13,150518,0,0.0,127626.13,2.6.23.4,INFRAESTRUCTURA AGRICOLA
2687722,2687722,2025,22000.0,22000,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2199701,2199701,2014,67540.8,67541,0,67540.8,67540.8,2.6.23.99,OTRAS ESTRUCTURAS DIVERSAS
2352536,2352536,2018,0.0,18850,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2352536,2352536,2019,0.0,360895,0,0.0,0.0,2.6.23.6,"PLAZUELAS, PARQUES Y JARDINES"
